NSample,Dimension,Distribution,prob
40,980,GaussianBiased,1.0
40,980,Bernoulli,1.0
40,980,Laplacian,1.0
40,980,Radamacher,1.0
40,990,Uniform,1.0
40,990,Gaussian,1.0
40,990,GaussianBiased,1.0
40,990,Bernoulli,1.0
40,990,Laplacian,1.0
40,990,Radamacher,1.0
42,100,Uniform,0.005
42,100,Gaussian,0.0
42,100,GaussianBiased,0.0
42,100,Bernoulli,0.0125
42,100,Laplacian,0.0
42,100,Radamacher,0.0025
42,110,Uniform,0.0125
42,110,Gaussian,0.0125
42,110,GaussianBiased,0.0125
42,110,Bernoulli,0.005
42,110,Laplacian,0.01
42,110,Radamacher,0.01
42,120,Uniform,0.0225
42,120,Gaussian,0.0275
42,120,GaussianBiased,0.03
42,120,Bernoulli,0.02
42,120,Laplacian,0.0175
42,120,Radamacher,0.025
42,130,Uniform,0.045
42,130,Gaussian,0.0425
42,130,GaussianBiased,0.0425
42,130,Bernoulli,0.0475
42,130,Laplacian,0.0575
42,130,Radamacher,0.0275
42,140,Uniform,0.0575
42,140,Gaussian,0.0525
42,140,GaussianBiased,0.0775
42,140,Bernoulli,0.11
42,140,Laplacian,0.05
42,140,Radamacher,0.065
42,150,Uniform,0.125
42,150,Gaussian,0.1
42,150,GaussianBiased,0.1
42,150,Bernoulli,0.0925
42,150,Laplacian,0.08
42,150,Radamacher,0.09
42,160,Uniform,0.13
42,160,Gaussian,0.1275
42,160,GaussianBiased,0.1375
42,160,Bernoulli,0.135
42,160,Laplacian,0.145
42,160,Radamacher,0.1275
42,170,Uniform,0.2
42,170,Gaussian,0.19
42,170,GaussianBiased,0.2175
42,170,Bernoulli,0.2
42,170,Laplacian,0.1675
42,170,Radamacher,0.185
42,180,Uniform,0.2125
42,180,Gaussian,0.2325
42,180,GaussianBiased,0.2675
42,180,Bernoulli,0.27
42,180,Laplacian,0.2075
42,180,Radamacher,0.2525
42,190,Uniform,0.2775
42,190,Gaussian,0.2925
42,190,GaussianBiased,0.325
42,190,Bernoulli,0.295
42,190,Laplacian,0.29
42,190,Radamacher,0.3025
42,200,Uniform,0.2925
42,200,Gaussian,0.3275
42,200,GaussianBiased,0.3725
42,200,Bernoulli,0.3375
42,200,Laplacian,0.3375
42,200,Radamacher,0.3325
42,210,Uniform,0.395
42,210,Gaussian,0.4175
42,210,GaussianBiased,0.445
42,210,Bernoulli,0.43
42,210,Laplacian,0.3275
42,210,Radamacher,0.4325
42,220,Uniform,0.4525
42,220,Gaussian,0.455
42,220,GaussianBiased,0.4525
42,220,Bernoulli,0.455
42,220,Laplacian,0.4325
42,220,Radamacher,0.4475
42,230,Uniform,0.5
42,230,Gaussian,0.4825
42,230,GaussianBiased,0.57
42,230,Bernoulli,0.5425
42,230,Laplacian,0.51
42,230,Radamacher,0.515
42,240,Uniform,0.4675
42,240,Gaussian,0.5575
42,240,GaussianBiased,0.535
42,240,Bernoulli,0.5775
42,240,Laplacian,0.52
42,240,Radamacher,0.5625
42,250,Uniform,0.595
42,250,Gaussian,0.6125
42,250,GaussianBiased,0.6
42,250,Bernoulli,0.66
42,250,Laplacian,0.52
42,250,Radamacher,0.6075
42,260,Uniform,0.67
42,260,Gaussian,0.645
42,260,GaussianBiased,0.6825
42,260,Bernoulli,0.6675
42,260,Laplacian,0.62
42,260,Radamacher,0.6475
42,270,Uniform,0.655
42,270,Gaussian,0.6575
42,270,GaussianBiased,0.73
42,270,Bernoulli,0.675
42,270,Laplacian,0.6725
42,270,Radamacher,0.6925
42,280,Uniform,0.6725
42,280,Gaussian,0.6925
42,280,GaussianBiased,0.73
42,280,Bernoulli,0.73
42,280,Laplacian,0.685
42,280,Radamacher,0.685
42,290,Uniform,0.745
42,290,Gaussian,0.7325
42,290,GaussianBiased,0.7375
42,290,Bernoulli,0.765
42,290,Laplacian,0.73
42,290,Radamacher,0.7825
42,300,Uniform,0.7675
42,300,Gaussian,0.805
42,300,GaussianBiased,0.7975
42,300,Bernoulli,0.8075
42,300,Laplacian,0.795
42,300,Radamacher,0.7875
42,310,Uniform,0.795
42,310,Gaussian,0.805
42,310,GaussianBiased,0.8375
42,310,Bernoulli,0.8075
42,310,Laplacian,0.775
42,310,Radamacher,0.81
42,320,Uniform,0.8175
42,320,Gaussian,0.8025
42,320,GaussianBiased,0.8275
42,320,Bernoulli,0.85
42,320,Laplacian,0.78
42,320,Radamacher,0.81
42,330,Uniform,0.84
42,330,Gaussian,0.8425
42,330,GaussianBiased,0.8525
42,330,Bernoulli,0.83
42,330,Laplacian,0.82
42,330,Radamacher,0.86
42,340,Uniform,0.8475
42,340,Gaussian,0.88
42,340,GaussianBiased,0.8725
42,340,Bernoulli,0.8975
42,340,Laplacian,0.8125
42,340,Radamacher,0.8775
42,350,Uniform,0.875
42,350,Gaussian,0.885
42,350,GaussianBiased,0.8975
42,350,Bernoulli,0.875
42,350,Laplacian,0.8825
42,350,Radamacher,0.885
42,360,Uniform,0.895
42,360,Gaussian,0.8825
42,360,GaussianBiased,0.9025
42,360,Bernoulli,0.9225
42,360,Laplacian,0.875
42,360,Radamacher,0.9075
42,370,Uniform,0.9025
42,370,Gaussian,0.89
42,370,GaussianBiased,0.93
42,370,Bernoulli,0.91
42,370,Laplacian,0.8775
42,370,Radamacher,0.8875
42,380,Uniform,0.915
42,380,Gaussian,0.905
42,380,GaussianBiased,0.92
42,380,Bernoulli,0.91
42,380,Laplacian,0.92
42,380,Radamacher,0.905
42,390,Uniform,0.915
42,390,Gaussian,0.9125
42,390,GaussianBiased,0.915
42,390,Bernoulli,0.925
42,390,Laplacian,0.905
42,390,Radamacher,0.9325
42,400,Uniform,0.93
42,400,Gaussian,0.94
42,400,GaussianBiased,0.95
42,400,Bernoulli,0.9475
42,400,Laplacian,0.92
42,400,Radamacher,0.94
42,410,Uniform,0.9475
42,410,Gaussian,0.9275
42,410,GaussianBiased,0.9375
42,410,Bernoulli,0.9325
42,410,Laplacian,0.955
42,410,Radamacher,0.9475
42,420,Uniform,0.9425
42,420,Gaussian,0.9525
42,420,GaussianBiased,0.965
42,420,Bernoulli,0.9625
42,420,Laplacian,0.945
42,420,Radamacher,0.955
42,430,Uniform,0.9675
42,430,Gaussian,0.96
42,430,GaussianBiased,0.965
42,430,Bernoulli,0.9575
42,430,Laplacian,0.95
42,430,Radamacher,0.965
42,440,Uniform,0.965
42,440,Gaussian,0.9425
42,440,GaussianBiased,0.965
42,440,Bernoulli,0.965
42,440,Laplacian,0.9375
42,440,Radamacher,0.965
42,450,Uniform,0.96
42,450,Gaussian,0.96
42,450,GaussianBiased,0.9675
42,450,Bernoulli,0.9675
42,450,Laplacian,0.9625
42,450,Radamacher,0.95
42,460,Uniform,0.97
42,460,Gaussian,0.9575
42,460,GaussianBiased,0.99
42,460,Bernoulli,0.975
42,460,Laplacian,0.9725
42,460,Radamacher,0.97
42,470,Uniform,0.975
42,470,Gaussian,0.9725
42,470,GaussianBiased,0.985
42,470,Bernoulli,0.9775
42,470,Laplacian,0.98
42,470,Radamacher,0.965
42,480,Uniform,0.98
